Modelo,TN,FP,FN,TP,Precisión Global,Error Global,PP,PN,AP,NP
Random Forest,373,127,61,207,0.7552083333333334,0.24479166666666666,0.7723880597014925,0.746,0.6197604790419161,0.8594470046082949
SVM Lineal,385,115,78,190,0.7486979166666666,0.2513020833333333,0.7089552238805971,0.77,0.6229508196721312,0.8315334773218143
Red Neuronal MLP,372,128,100,168,0.703125,0.296875,0.6268656716417911,0.744,0.5675675675675675,0.788135593220339
